"Deployment.No.","Date","Project.Name","Location","Management","Bait.Type","LONGITUDE","LATITUDE","Distance.to.center..km.","Time.in..24hr.","Time.Out..24hr.","Deployment.Time","Total.Video.Time..m.","Video.Method","Depth..m.","Temp","Camera.Type","Frame.Rate","Resolution","Habitat","Total.MaxN","Total.MaxN.SR","Species.Richness","Sharks","Rays","DATATYPE","OWNER","DATE_FORMATTED","DAY","MONTH","YEAR","SPECIES_COMMON","ABUNDANCE","SPECIES_SCIENTIFIC"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Bronze Whaler",0,"Carcharhinus brachyurus"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Dark Shyshark",0,"Haploblepharus pictus"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Great White.Shark",0,"Carcharodon carcharias"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Leopard Catshark",0,"Poroderma pantherinum"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Puffadder Shyshark",0,"Haploblepharus edwardsii"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Pyjama Catshark",0,"Poroderma africanum"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Ragged Tooth",0,"Carcharias taurus"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Smooth Hammerhead",0,"SPHYRNA ZYGAENA"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Smooth Hound",0,"Mustelus mustelus"
1,"1/15/2019","De Hoop","Cape Infanta","Inside Reserve","Sardine",20.867734,-34.461533,20.28922203,"7:58","9:33","1:35",38.58,"Mono-BRUVs",7.5,21,"GoPro Hero 6",60,"1080p","Sand",0,0,0,0,0,"BRUVS","ALBANO_P",2019-01-15,"15","01","2019","Spotted Gully",0,"Triakis megalopterus"
